,C0,C1,r,delta,theta,thetaG,alpha_0,alpha_1,beta_1,U_G,U_D,Gstrategy,Dstrategy,backfiring_flag,beta_0,U_pareto,U_pareto_dominates_anarchy,U_dominates_anarchy
0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.0,0.0,0.25,0.5,0.5,0.375,0.375,unconstrained,unconstrained,0,0.25,0,0,0
1,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.03333333333333333,0.0,0.25,0.5,0.5,0.375,0.375,unconstrained,unconstrained,0,0.25,0,0,0
2,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.06666666666666667,0.0,0.25,0.5,0.5,0.375,0.375,unconstrained,unconstrained,0,0.25,0,0,0
3,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.1,0.0,0.25,0.5,0.5,0.375,0.375,unconstrained,unconstrained,0,0.25,0,0,0
4,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.13333333333333333,0.0,0.25,0.5,0.5,0.375,0.375,unconstrained,unconstrained,0,0.25,0,0,0
5,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.16666666666666666,0.0,0.25,0.5,0.5,0.375,0.375,unconstrained,unconstrained,0,0.25,0,0,0
6,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.2,0.0,0.25,0.5,0.5,0.375,0.375,unconstrained,unconstrained,0,0.25,0,0,0
7,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.23333333333333334,0.0,0.25,0.5,0.5,0.375,0.375,unconstrained,unconstrained,0,0.25,0,0,0
8,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.26666666666666666,0.0,0.25,0.5,0.5,0.375,0.375,unconstrained,unconstrained,0,0.25,0,0,0
9,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.3,0.0,0.25,0.5,0.5,0.375,0.375,unconstrained,unconstrained,0,0.25,0,0,0
10,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.3333333333333333,0.0,0.25,0.5,0.5,0.375,0.375,unconstrained,unconstrained,0,0.25,0,0,0
11,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.36666666666666664,0.0,0.25,0.5,0.5,0.375,0.375,unconstrained,unconstrained,0,0.25,0,0,0
12,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.4,0.0,0.25,0.5,0.4,0.3875,0.22749999999999998,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",1,0.0,0,0,0
13,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.43333333333333335,0.0,0.25,0.5,0.43333333333333335,0.4041666666666667,0.21638888888888885,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",1,0.0,0,0,0
14,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.4666666666666667,0.0,0.25,0.5,0.4666666666666667,0.42083333333333334,0.20305555555555554,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",1,0.0,0,0,0
15,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.5,0.0,0.25,0.5,0.5,0.4375,0.1875,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.0,0,0,0
16,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.5333333333333333,0.0,0.25,0.5,0.5333333333333333,0.4541666666666666,0.16972222222222216,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.0,0,0,0
17,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.5666666666666667,0.0,0.25,0.5,0.5666666666666667,0.4708333333333333,0.14972222222222226,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.0,0,0,0
18,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.6,0.0,0.25,0.5,0.6,0.48750000000000004,0.12750000000000006,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.0,0,0,0
19,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.6333333333333333,0.0,0.25,0.5,0.6333333333333333,0.5041666666666667,0.10305555555555557,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.0,0,0,0
20,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.6666666666666666,0.0,0.25,0.5,0.6666666666666666,0.5208333333333333,0.07638888888888884,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.0,0,0,0
21,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.7,0.0,0.25,0.5,0.7,0.5375,0.04749999999999999,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.0,0,0,0
22,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.7333333333333333,0.0,0.25,0.5,0.7333333333333333,0.5541666666666667,0.01638888888888901,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.0,0,0,0
23,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.7666666666666666,0.0,0.25331674269395327,0.5033167426939533,0.7666666666666666,0.5707216076165753,2.0132619706902943e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.010036181278759979,0,0,0
24,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.8,0.0,0.25984592395569067,0.5098459239556907,0.8,0.5864842918405194,2.039378695806171e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.03031115208861869,0,0,0
25,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.8333333333333334,0.0,0.2662454549595729,0.516245454959573,0.8333333333333334,0.6013174947776552,2.0649768197600338e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.050845423414187525,0,0,0
26,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.8666666666666667,0.0,0.27252276546208654,0.5225227654620865,0.8666666666666667,0.615196041548414,2.090086061889984e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.07162413574249357,0,0,0
27,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.9,0.0,0.2786846015989045,0.5286846015989045,0.9,0.6280961733211226,2.1147334063886802e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.09263379680219098,0,0,0
28,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.9333333333333333,0.0,0.2847371108333444,0.5347371108333444,0.9333333333333333,0.6399954193244312,2.13894344336385e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.11386211166664445,0,0,0
29,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.9666666666666667,0.0,0.29068591379634734,0.5406859137963473,0.9666666666666667,0.6508724844938032,2.1627386553868533e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.13529783907397192,0,0,0
30,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,1.0,0.0,0.29653616540862676,0.5465361654086267,1.0,0.6607071503789164,2.186139661630726e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.15693066918274642,0,0,0
31,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,1.0333333333333332,0.0,0.3022926071768464,0.5522926071768464,1.0333333333333332,0.669480187364841,2.2091654285905094e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.1787511189796403,0,0,0
32,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,1.0666666666666667,0.0,0.30795961217325385,0.5579596121732538,1.0666666666666667,0.6771732765983199,2.231833448829157e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.20075044232015887,0,0,0
33,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,1.1,0.0,0.31354122391228306,0.563541223912283,1.1,0.6837689402815288,2.25415989552058e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.22292055217543388,0,0,0
34,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,1.1333333333333333,0.0,0.31904119010671295,0.569041190106713,1.1333333333333333,0.6892504792143737,2.276159760450369e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.2452539531199074,0,0,0
35,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,1.1666666666666667,0.0,0.32446299210430646,0.5744629921043065,1.1666666666666667,0.6936019166440083,2.2978469684797886e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.2677436824580538,0,0,0
36,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,1.2,0.0,0.32980987066188033,0.5798098706618804,1.2,0.6968079476255024,2.319234482572874e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.29038325867623915,0,0,0
37,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,1.2333333333333334,0.0,0.3350848485988417,0.5850848485988417,1.2333333333333334,0.6988538932170603,2.3403343942796084e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.31316663613565,0,0,0
38,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,1.2666666666666666,0.0,0.3402907507798992,0.5902907507798991,1.2666666666666666,0.699725658932034,2.3611580030058477e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.3360881651068681,0,0,0
39,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,1.3,0.0,0.345430221802018,0.595430221802018,1.3,0.6994096969521895,2.381715887178615e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.359142556395964,0,0,0
