,C0,C1,r,delta,theta,thetaG,alpha_0,alpha_1,beta_1,U_G,U_D,Gstrategy,Dstrategy,backfiring_flag,beta_0
0,"[[ 1.  -0.1]
 [-0.1  1. ]]","[[ 1.  -0.1]
 [-0.1  1. ]]",[1 1],0.5,0.0,0.0,0.2777777777777778,0.5555555555555556,0.5555555555555556,0.4166666666666667,0.4166666666666667,unconstrained,unconstrained,0,0.2777777777777778
1,"[[ 1.  -0.1]
 [-0.1  1. ]]","[[ 1.  -0.1]
 [-0.1  1. ]]",[1 1],0.5,0.02,0.0,0.2777777777777778,0.5555555555555556,0.5555555555555556,0.4166666666666667,0.4166666666666667,unconstrained,unconstrained,0,0.2777777777777778
2,"[[ 1.  -0.1]
 [-0.1  1. ]]","[[ 1.  -0.1]
 [-0.1  1. ]]",[1 1],0.5,0.04,0.0,0.2777777777777778,0.5555555555555556,0.5555555555555556,0.4166666666666667,0.4166666666666667,unconstrained,unconstrained,0,0.2777777777777778
3,"[[ 1.  -0.1]
 [-0.1  1. ]]","[[ 1.  -0.1]
 [-0.1  1. ]]",[1 1],0.5,0.06,0.0,0.2777777777777778,0.5555555555555556,0.5555555555555556,0.4166666666666667,0.4166666666666667,unconstrained,unconstrained,0,0.2777777777777778
4,"[[ 1.  -0.1]
 [-0.1  1. ]]","[[ 1.  -0.1]
 [-0.1  1. ]]",[1 1],0.5,0.08,0.0,0.2777777777777778,0.5555555555555556,0.5555555555555556,0.4166666666666667,0.4166666666666667,unconstrained,unconstrained,0,0.2777777777777778
5,"[[ 1.  -0.1]
 [-0.1  1. ]]","[[ 1.  -0.1]
 [-0.1  1. ]]",[1 1],0.5,0.1,0.0,0.2777777777777778,0.5555555555555556,0.5555555555555556,0.4166666666666667,0.4166666666666667,unconstrained,unconstrained,0,0.2777777777777778
6,"[[ 1.  -0.1]
 [-0.1  1. ]]","[[ 1.  -0.1]
 [-0.1  1. ]]",[1 1],0.5,0.12,0.0,0.2777777777777778,0.5555555555555556,0.5555555555555556,0.4166666666666667,0.4166666666666667,unconstrained,unconstrained,0,0.2777777777777778
7,"[[ 1.  -0.1]
 [-0.1  1. ]]","[[ 1.  -0.1]
 [-0.1  1. ]]",[1 1],0.5,0.14,0.0,0.2777777777777778,0.5555555555555556,0.5555555555555556,0.4166666666666667,0.4166666666666667,unconstrained,unconstrained,0,0.2777777777777778
8,"[[ 1.  -0.1]
 [-0.1  1. ]]","[[ 1.  -0.1]
 [-0.1  1. ]]",[1 1],0.5,0.16,0.0,0.2777777777777778,0.5555555555555556,0.5555555555555556,0.4166666666666667,0.4166666666666667,unconstrained,unconstrained,0,0.2777777777777778
9,"[[ 1.  -0.1]
 [-0.1  1. ]]","[[ 1.  -0.1]
 [-0.1  1. ]]",[1 1],0.5,0.18,0.0,0.2777777777777778,0.5555555555555556,0.5555555555555556,0.4166666666666667,0.4166666666666667,unconstrained,unconstrained,0,0.2777777777777778
10,"[[ 1.  -0.1]
 [-0.1  1. ]]","[[ 1.  -0.1]
 [-0.1  1. ]]",[1 1],0.5,0.2,0.0,0.2777777777777778,0.5555555555555556,0.5555555555555556,0.4166666666666667,0.4166666666666667,unconstrained,unconstrained,0,0.2777777777777778
11,"[[ 1.  -0.1]
 [-0.1  1. ]]","[[ 1.  -0.1]
 [-0.1  1. ]]",[1 1],0.5,0.22,0.0,0.2777777777777778,0.5555555555555556,0.5555555555555556,0.4166666666666667,0.4166666666666667,unconstrained,unconstrained,0,0.2777777777777778
12,"[[ 1.  -0.1]
 [-0.1  1. ]]","[[ 1.  -0.1]
 [-0.1  1. ]]",[1 1],0.5,0.24,0.0,0.2777777777777778,0.5555555555555556,0.5555555555555556,0.4166666666666667,0.4166666666666667,unconstrained,unconstrained,0,0.2777777777777778
13,"[[ 1.  -0.1]
 [-0.1  1. ]]","[[ 1.  -0.1]
 [-0.1  1. ]]",[1 1],0.5,0.26,0.0,0.2777777777777778,0.5555555555555556,0.5555555555555556,0.4166666666666667,0.4166666666666667,unconstrained,unconstrained,0,0.2777777777777778
14,"[[ 1.  -0.1]
 [-0.1  1. ]]","[[ 1.  -0.1]
 [-0.1  1. ]]",[1 1],0.5,0.28,0.0,0.2777777777777778,0.5555555555555556,0.5555555555555556,0.4166666666666667,0.4166666666666667,unconstrained,unconstrained,0,0.2777777777777778
15,"[[ 1.  -0.1]
 [-0.1  1. ]]","[[ 1.  -0.1]
 [-0.1  1. ]]",[1 1],0.5,0.3,0.0,0.2777777777777778,0.5555555555555556,0.5555555555555556,0.4166666666666667,0.4166666666666667,unconstrained,unconstrained,0,0.2777777777777778
16,"[[ 1.  -0.1]
 [-0.1  1. ]]","[[ 1.  -0.1]
 [-0.1  1. ]]",[1 1],0.5,0.32,0.0,0.2777777777777778,0.5555555555555556,0.5555555555555556,0.4166666666666667,0.4166666666666667,unconstrained,unconstrained,0,0.2777777777777778
17,"[[ 1.  -0.1]
 [-0.1  1. ]]","[[ 1.  -0.1]
 [-0.1  1. ]]",[1 1],0.5,0.34,0.0,0.2777777777777778,0.5555555555555556,0.5555555555555556,0.4166666666666667,0.4166666666666667,unconstrained,unconstrained,0,0.2777777777777778
18,"[[ 1.  -0.1]
 [-0.1  1. ]]","[[ 1.  -0.1]
 [-0.1  1. ]]",[1 1],0.5,0.36,0.0,0.2777777777777778,0.5555555555555556,0.5555555555555556,0.4166666666666667,0.4166666666666667,unconstrained,unconstrained,0,0.2777777777777778
19,"[[ 1.  -0.1]
 [-0.1  1. ]]","[[ 1.  -0.1]
 [-0.1  1. ]]",[1 1],0.5,0.38,0.0,0.2777777777777778,0.5555555555555556,0.5555555555555556,0.4166666666666667,0.4166666666666667,unconstrained,unconstrained,0,0.2777777777777778
20,"[[ 1.  -0.1]
 [-0.1  1. ]]","[[ 1.  -0.1]
 [-0.1  1. ]]",[1 1],0.5,0.4,0.0,0.2777777777777778,0.5555555555555556,0.5555555555555556,0.4166666666666667,0.4166666666666667,unconstrained,unconstrained,0,0.2777777777777778
21,"[[ 1.  -0.1]
 [-0.1  1. ]]","[[ 1.  -0.1]
 [-0.1  1. ]]",[1 1],0.5,0.42,0.0,0.25,0.542,0.42,0.4185,0.24386399999999997,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",1,0.0
22,"[[ 1.  -0.1]
 [-0.1  1. ]]","[[ 1.  -0.1]
 [-0.1  1. ]]",[1 1],0.5,0.44,0.0,0.25,0.544,0.44,0.4295,0.23783599999999994,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",1,0.0
23,"[[ 1.  -0.1]
 [-0.1  1. ]]","[[ 1.  -0.1]
 [-0.1  1. ]]",[1 1],0.5,0.46,0.0,0.25,0.546,0.46,0.4405,0.23101599999999994,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",1,0.0
24,"[[ 1.  -0.1]
 [-0.1  1. ]]","[[ 1.  -0.1]
 [-0.1  1. ]]",[1 1],0.5,0.48,0.0,0.25,0.548,0.48,0.4515,0.223404,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",1,0.0
