,C0,C1,r,delta,theta,thetaG,alpha_0,alpha_1,beta_1,U_G,U_D,Gstrategy,Dstrategy,backfiring_flag,beta_0
0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.0,0.0,0.25,0.5,0.5,0.375,0.375,unconstrained,unconstrained,0,0.25
1,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.02,0.0,0.25,0.5,0.5,0.375,0.375,unconstrained,unconstrained,0,0.25
2,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.04,0.0,0.25,0.5,0.5,0.375,0.375,unconstrained,unconstrained,0,0.25
3,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.06,0.0,0.25,0.5,0.5,0.375,0.375,unconstrained,unconstrained,0,0.25
4,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.08,0.0,0.25,0.5,0.5,0.375,0.375,unconstrained,unconstrained,0,0.25
5,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.1,0.0,0.25,0.5,0.5,0.375,0.375,unconstrained,unconstrained,0,0.25
6,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.12,0.0,0.25,0.5,0.5,0.375,0.375,unconstrained,unconstrained,0,0.25
7,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.14,0.0,0.25,0.5,0.5,0.375,0.375,unconstrained,unconstrained,0,0.25
8,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.16,0.0,0.25,0.5,0.5,0.375,0.375,unconstrained,unconstrained,0,0.25
9,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.18,0.0,0.25,0.5,0.5,0.375,0.375,unconstrained,unconstrained,0,0.25
10,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.2,0.0,0.25,0.5,0.5,0.375,0.375,unconstrained,unconstrained,0,0.25
11,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.22,0.0,0.25,0.5,0.5,0.375,0.375,unconstrained,unconstrained,0,0.25
12,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.24,0.0,0.25,0.5,0.5,0.375,0.375,unconstrained,unconstrained,0,0.25
13,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.26,0.0,0.25,0.5,0.5,0.375,0.375,unconstrained,unconstrained,0,0.25
14,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.28,0.0,0.25,0.5,0.5,0.375,0.375,unconstrained,unconstrained,0,0.25
15,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.3,0.0,0.25,0.5,0.5,0.375,0.375,unconstrained,unconstrained,0,0.25
16,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.32,0.0,0.25,0.5,0.5,0.375,0.375,unconstrained,unconstrained,0,0.25
17,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.34,0.0,0.25,0.5,0.5,0.375,0.375,unconstrained,unconstrained,0,0.25
18,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.36,0.0,0.25,0.5,0.5,0.375,0.375,unconstrained,unconstrained,0,0.25
19,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.38,0.0,0.25,0.5,0.38,0.3775,0.2331,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",1,0.0
20,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.4,0.0,0.25,0.5,0.4,0.3875,0.22749999999999998,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",1,0.0
21,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.42,0.0,0.25,0.5,0.42,0.39749999999999996,0.2211,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",1,0.0
22,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.44,0.0,0.25,0.5,0.44,0.4075,0.21389999999999998,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",1,0.0
23,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.46,0.0,0.25,0.5,0.46,0.4175,0.20589999999999997,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",1,0.0
24,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.48,0.0,0.25,0.5,0.48,0.4275,0.1971,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",1,0.0
25,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.5,0.0,0.25,0.5,0.5,0.4375,0.1875,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.0
26,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.52,0.0,0.25,0.5,0.52,0.4475,0.17709999999999998,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.0
27,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.54,0.0,0.25,0.5,0.54,0.4575,0.1659,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.0
28,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.56,0.0,0.25,0.5,0.56,0.4675,0.15389999999999998,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.0
29,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.58,0.0,0.25,0.5,0.58,0.47750000000000004,0.14110000000000006,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.0
30,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.6,0.0,0.25,0.5,0.6,0.48750000000000004,0.12750000000000006,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.0
31,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.62,0.0,0.25,0.5,0.62,0.49750000000000005,0.11310000000000003,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.0
32,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.64,0.0,0.25,0.5,0.64,0.5075000000000001,0.09790000000000004,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.0
33,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.66,0.0,0.25,0.5,0.66,0.5175000000000001,0.08190000000000003,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.0
34,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.68,0.0,0.25,0.5,0.68,0.5275000000000001,0.06509999999999994,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.0
35,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.7000000000000001,0.0,0.25,0.5,0.7000000000000001,0.5375000000000001,0.04749999999999999,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.0
36,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.72,0.0,0.25,0.5,0.72,0.5475,0.029100000000000015,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.0
37,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.74,0.0,0.25,0.5,0.74,0.5575,0.00990000000000002,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.0
38,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.76,0.0,0.2519946406352281,0.501994640635228,0.76,0.5674598565957782,2.0079735625344597e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.00601371872954379
39,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.78,0.0,0.2559444800714249,0.5059444800714249,0.78,0.577136544716734,2.0237729203564925e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.01811403985715018
40,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.8,0.0,0.25984592395569067,0.5098459239556907,0.8,0.5864842918405194,2.039378695806171e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.03031115208861869
41,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.8200000000000001,0.0,0.2637007087674972,0.5137007087674972,0.8200000000000001,0.5954973957507456,2.054797834993849e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.04260158246500561
42,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.84,0.0,0.2675104695611021,0.5175104695611021,0.84,0.60417035643738,2.070036878132342e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.0549820608777957
43,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.86,0.0,0.2712767480704672,0.5212767480704672,0.86,0.6124978644207117,2.085101992177485e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.06744950385906556
44,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.88,0.0,0.275001,0.525001,0.88,0.620474789998,2.099998999915975e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.080001
45,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.9,0.0,0.2786846015989045,0.5286846015989045,0.9,0.6280961733211226,2.1147334063886802e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.09263379680219098
46,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.92,0.0,0.28232885560334303,0.532328855603343,0.92,0.6353572152244314,2.129310422316344e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.10534528879331394
47,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.9400000000000001,0.0,0.28593499661915883,0.5359349966191589,0.9400000000000001,0.6422532687314253,2.1437349865260913e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.11813300676168234
48,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.96,0.0,0.28950419600821803,0.5395041960082181,0.96,0.6487798311769768,2.1580117839370416e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.1309946079835638
49,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.98,0.0,0.2930375663331973,0.5430375663331972,0.98,0.6549325368889157,2.1721452653222784e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.1439278673336054
50,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,1.0,0.0,0.29653616540862676,0.5465361654086267,1.0,0.6607071503789164,2.186139661630726e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.15693066918274642
51,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,1.02,0.0,0.30000099999999996,0.550001,1.02,0.666099559998,2.199999000085384e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.170001
52,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,1.04,0.0,0.30343302920761117,0.5534330292076112,1.04,0.6711057720166722,2.2137271167288475e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.18313694158477767
53,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,1.06,0.0,0.3068331675673539,0.5568331675673539,1.06,0.675721905093835,2.2273276703010936e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.1963366648652922
54,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,1.08,0.0,0.31020228789688936,0.5602022878968893,1.08,0.679944185102249,2.2408041515653565e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.20959842420622135
55,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,1.1,0.0,0.31354122391228306,0.563541223912283,1.1,0.6837689402815288,2.25415989552058e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.22292055217543388
56,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,1.12,0.0,0.31685077263733796,0.566850772637338,1.12,0.6871925966924866,2.267398090505246e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.23630145472532416
57,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,1.1400000000000001,0.0,0.3201316966253492,0.5701316966253491,1.1400000000000001,0.6902116739491542,2.280521786524048e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.24973960674930173
58,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,1.16,0.0,0.32338472601082824,0.5733847260108282,1.16,0.6928227812070489,2.2935339041296743e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0,0.26323354797834336
