C0,C1,r,delta,theta,thetaG,alpha_0,beta_0,alpha_1,beta_1,U_G,U_D,Gstrategy,Dstrategy,backfiring_flag
"[[ 1.  -0.1]
 [-0.1  1. ]]","[[ 1.  -0.1]
 [-0.1  1. ]]",[1 1],0.5,0.0,0.0,0.2777777777777778,0.2777777777777778,0.5555555555555556,0.5555555555555556,0.4166666666666667,0.4166666666666667,unconstrained,unconstrained,0
"[[ 1.  -0.1]
 [-0.1  1. ]]","[[ 1.  -0.1]
 [-0.1  1. ]]",[1 1],0.5,0.2777777777777778,0.0,0.2777777777777778,0.2777777777777778,0.5555555555555556,0.5555555555555556,0.4166666666666667,0.4166666666666667,unconstrained,unconstrained,0
"[[ 1.  -0.1]
 [-0.1  1. ]]","[[ 1.  -0.1]
 [-0.1  1. ]]",[1 1],0.5,0.5555555555555556,0.0,0.25,0.0,0.5555555555555556,0.5555555555555556,0.4930555555555556,0.1875,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0
"[[ 1.  -0.1]
 [-0.1  1. ]]","[[ 1.  -0.1]
 [-0.1  1. ]]",[1 1],0.5,0.8333333333333334,0.0,0.33333433333333345,1e-06,0.6666675666666667,0.8333333333333334,0.6388887388870889,2.0999990100190047e-06,"$U_D=0, \beta_0=\theta_G$","constrained $\beta_1=max(\beta_0,\theta)$",0
"[[ 1.  -0.1]
 [-0.1  1. ]]","[[ 1.  -0.1]
 [-0.1  1. ]]",[1 1],0.5,1.1111111111111112,0.0,0.2777777777777778,0.2777777777777778,0.6111111111111112,1.1111111111111112,0.7222222222222223,0.11111111111111105,unconstrained,"constrained $\beta_1=max(\beta_0,\theta)$",0
"[[ 1.  -0.1]
 [-0.1  1. ]]","[[ 1.  -0.1]
 [-0.1  1. ]]",[1 1],0.5,1.3888888888888888,0.0,1e-06,0.4888642285005671,0.34000346603883214,1.3888888888888888,0.6254580413282516,2.2320498178629578e-06,"$U_D=0, \alpha_0=0$","constrained $\beta_1=max(\beta_0,\theta)$",0
"[[ 1.  -0.1]
 [-0.1  1. ]]","[[ 1.  -0.1]
 [-0.1  1. ]]",[1 1],0.5,1.6666666666666667,0.0,1e-06,0.6898270766961229,0.34768495899705437,1.6666666666666667,0.5313145550531574,2.384143378497683e-06,"$U_D=0, \alpha_0=0$","constrained $\beta_1=max(\beta_0,\theta)$",0
"[[ 1.  -0.1]
 [-0.1  1. ]]","[[ 1.  -0.1]
 [-0.1  1. ]]",[1 1],0.5,1.9444444444444446,0.0,1e-06,0.8965435893274453,0.3547910855116999,1.9444444444444446,0.34582753672165134,2.524844683327032e-06,"$U_D=0, \alpha_0=0$","constrained $\beta_1=max(\beta_0,\theta)$",0
"[[ 1.  -0.1]
 [-0.1  1. ]]","[[ 1.  -0.1]
 [-0.1  1. ]]",[1 1],0.5,2.2222222222222223,0.0,1e-06,1.1078869266238471,0.3614345295598375,2.2222222222222223,0.0644151552833816,2.6563848747329644e-06,"$U_D=0, \alpha_0=0$","constrained $\beta_1=max(\beta_0,\theta)$",0
"[[ 1.  -0.1]
 [-0.1  1. ]]","[[ 1.  -0.1]
 [-0.1  1. ]]",[1 1],0.5,2.5,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,abstain,1
