C0,C1,r,delta,theta,thetaG,alpha_0,beta_0,alpha_1,beta_1,U_G,U_D,Gstrategy,Dstrategy,backfiring_flag
"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.0,0.0,0.25,0.25,0.5,0.5,0.375,0.375,unconstrained,unconstrained,0
"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.05,0.0,0.25,0.25,0.5,0.5,0.375,0.375,unconstrained,unconstrained,0
"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.1,0.0,0.25,0.25,0.5,0.5,0.375,0.375,unconstrained,unconstrained,0
"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.15000000000000002,0.0,0.25,0.25,0.5,0.5,0.375,0.375,unconstrained,unconstrained,0
"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.2,0.0,0.25,0.25,0.5,0.5,0.375,0.375,unconstrained,unconstrained,0
"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.25,0.0,0.25,0.25,0.5,0.5,0.375,0.375,unconstrained,unconstrained,0
"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.30000000000000004,0.0,0.25,0.25,0.5,0.5,0.375,0.375,unconstrained,unconstrained,0
"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.35000000000000003,0.0,0.25,0.25,0.5,0.5,0.375,0.375,unconstrained,unconstrained,0
"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.4,0.0,0.25,0.0,0.5,0.4,0.3875,0.22749999999999998,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",1
"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.45,0.0,0.25,0.0,0.5,0.45,0.4125,0.20999999999999996,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",1
"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.5,0.0,0.25,0.0,0.5,0.5,0.4375,0.1875,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0
"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.55,0.0,0.25,0.0,0.5,0.55,0.4625,0.15999999999999998,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0
"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.6000000000000001,0.0,0.25,0.0,0.5,0.6000000000000001,0.48750000000000004,0.12749999999999995,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0
"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.65,0.0,0.25,0.0,0.5,0.65,0.5125,0.08999999999999991,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0
"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.7000000000000001,0.0,0.25,0.0,0.5,0.7000000000000001,0.5375000000000001,0.04749999999999999,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0
"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.75,0.0,0.25,0.0,0.5,0.75,0.5625,0.0,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0
"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.8,0.0,0.25984592395569067,0.03031115208861869,0.5098459239556907,0.8,0.5864842918405194,2.039378695806171e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0
"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.8500000000000001,0.0,0.2693989511837938,0.06120509763241237,0.5193989511837938,0.8500000000000001,0.6083776167167757,2.077590804616669e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0
"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.9,0.0,0.2786846015989045,0.09263379680219098,0.5286846015989045,0.9,0.6280961733211226,2.1147334063886802e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0
"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,0.9500000000000001,0.0,0.2877241431530475,0.12455471369390506,0.5377241431530475,0.9500000000000001,0.6455630123199978,2.1508915726276e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0
"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,1.0,0.0,0.29653616540862676,0.15693066918274642,0.5465361654086267,1.0,0.6607071503789164,2.186139661630726e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0
"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,1.05,0.0,0.3051370292463185,0.18972894150736289,0.5551370292463185,1.05,0.6734628367603863,2.220543116826512e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0
"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.5,1.1,0.0,0.31354122391228306,0.22292055217543388,0.563541223912283,1.1,0.6837689402815288,2.25415989552058e-06,$U_D=0$,"constrained $\beta_1=max(\beta_0,\theta)$",0
