,C0,C1,r,delta,theta,thetaG,alpha_0,alpha_1,beta_1,U_G,U_D,Gstrategy,Dstrategy,beta_0
0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.01,0.49999,0,0.005,0.5,0.49999,0.009974899999999998,0.4949750998999999,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
1,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.020103092783505153,0.49999,0,0.010051546391752576,0.5,0.49999,0.020001858167711762,0.48984762095430956,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
2,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.03020618556701031,0.49999,0,0.015103092783505155,0.5,0.49999,0.029977780093527473,0.4846691057667233,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
3,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.04030927835051546,0.49999,0,0.02015463917525773,0.5,0.49999,0.039902665777447124,0.47943955433724084,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
4,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.05041237113402062,0.49999,0,0.02520618556701031,0.5,0.49999,0.04977651521947071,0.4741589666658624,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
5,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.060515463917525776,0.49999,0,0.030257731958762888,0.5,0.49999,0.05959932841959826,0.46882734275258786,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
6,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.07061855670103093,0.49999,0,0.03530927835051546,0.5,0.49999,0.06937110537782974,0.46344468259741733,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
7,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.08072164948453607,0.49999,0,0.040360824742268035,0.5,0.49999,0.07909184609416514,0.4580109862003507,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
8,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.09082474226804123,0.49999,0,0.045412371134020614,0.5,0.49999,0.0887615505686045,0.452526253561388,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
9,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.10092783505154639,0.49999,0,0.05046391752577319,0.5,0.49999,0.09838021880114783,0.44699048468052927,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
10,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.11103092783505154,0.49999,0,0.05551546391752577,0.5,0.49999,0.10794785079179509,0.4414036795577745,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
11,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.12113402061855669,0.49999,0,0.060567010309278344,0.5,0.49999,0.11746444654054626,0.4357658381931235,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
12,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.13123711340206184,0.49999,0,0.06561855670103092,0.5,0.49999,0.12693000604740143,0.43007696058657663,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
13,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.141340206185567,0.49999,0,0.0706701030927835,0.5,0.49999,0.1363445293123605,0.42433704673813366,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
14,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.15144329896907216,0.49999,0,0.07572164948453608,0.5,0.49999,0.14570801633542352,0.41854609664779463,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
15,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.16154639175257732,0.49999,0,0.08077319587628866,0.5,0.49999,0.1550204671165905,0.4127041103155595,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
16,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.17164948453608248,0.49999,0,0.08582474226804124,0.5,0.49999,0.1642818816558614,0.4068110877414283,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
17,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.18175257731958763,0.49999,0,0.09087628865979382,0.5,0.49999,0.17349225995323625,0.40086702892540116,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
18,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.1918556701030928,0.49999,0,0.0959278350515464,0.5,0.49999,0.18265160200871505,0.3948719338674779,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
19,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.20195876288659795,0.49999,0,0.10097938144329897,0.5,0.49999,0.1917599078222978,0.3888258025676586,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
20,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.2120618556701031,0.49999,0,0.10603092783505155,0.5,0.49999,0.20081717739398447,0.38272863502594323,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
21,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.22216494845360824,0.49999,0,0.11108247422680412,0.5,0.49999,0.20982341072377508,0.3765804312423318,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
22,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.2322680412371134,0.49999,0,0.1161340206185567,0.5,0.49999,0.21877860781166963,0.3703811912168242,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
23,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.24237113402061855,0.49999,0,0.12118556701030928,0.5,0.49999,0.22768276865766818,0.36413091494942074,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
24,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.2524742268041237,0.49999,0,0.12623711340206184,0.5,0.49999,0.23653589326177057,0.3578296024401211,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
25,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.26257731958762887,0.49999,0,0.13128865979381443,0.5,0.49999,0.24533798162397705,0.35147725368892546,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
26,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.272680412371134,0.49999,0,0.136340206185567,0.5,0.49999,0.2540890337442874,0.3450738686958338,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
27,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.2827835051546392,0.49999,0,0.1413917525773196,0.5,0.49999,0.26278904962270166,0.33861944746084593,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
28,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.2928865979381443,0.49999,0,0.14644329896907216,0.5,0.49999,0.27143802925921984,0.33211398998396213,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
29,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.3029896907216495,0.49999,0,0.15149484536082475,0.5,0.49999,0.28003597265384206,0.32555749626518227,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
30,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.3130927835051546,0.49999,0,0.1565463917525773,0.5,0.49999,0.28858287980656816,0.3189499663045063,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
31,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.3231958762886598,0.49999,0,0.1615979381443299,0.5,0.49999,0.29707875071739825,0.31229140010193435,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
32,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.33329896907216494,0.49999,0,0.16664948453608247,0.5,0.49999,0.30552358538633223,0.3055817976574663,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
33,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.34340206185567007,0.49999,0,0.17170103092783504,0.5,0.49999,0.31391738381337014,0.29882115897110206,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
34,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.35350515463917526,0.49999,0,0.17675257731958763,0.5,0.49999,0.32226014599851205,0.29200948404284194,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
35,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.3636082474226804,0.49999,0,0.1818041237113402,0.5,0.49999,0.3305518719417579,0.2851467728726857,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
36,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.37371134020618557,0.49999,0,0.18685567010309279,0.5,0.49999,0.33879256164310767,0.2782330254606334,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
37,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.3838144329896907,0.49999,0,0.19190721649484535,0.5,0.49999,0.34698221510256133,0.2712682418066851,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
38,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.3939175257731959,0.49999,0,0.19695876288659794,0.5,0.49999,0.35512083232011904,0.2642524219108406,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
39,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.404020618556701,0.49999,0,0.2020103092783505,0.5,0.49999,0.3632084132957806,0.2571855657731002,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
40,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.4141237113402062,0.49999,0,0.2070618556701031,0.5,0.49999,0.37124495802954616,0.2500676733934637,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
41,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.42422680412371133,0.49999,0,0.21211340206185567,0.5,0.49999,0.3792304665214157,0.24289874477193107,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
42,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.43432989690721646,0.49999,0,0.21716494845360823,0.5,0.49999,0.387164938771389,0.2356787799085025,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
43,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.44443298969072165,0.49999,0,0.22221649484536082,0.5,0.49999,0.3950483747794664,0.22840777880317786,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0.0
