C0,C1,r,delta,theta,thetaG,alpha_0,beta_0,alpha_1,beta_1,U_G,U_D,Gstrategy,Dstrategy,backfiring_flag
"[[ 1.   -0.25]
 [-0.25  1.  ]]","[[ 1.   -0.25]
 [-0.25  1.  ]]",[1 1],0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.5,unconstrained,unconstrained,0
"[[ 1.   -0.25]
 [-0.25  1.  ]]","[[ 1.   -0.25]
 [-0.25  1.  ]]",[1 1],0.5,0.05,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.5,unconstrained,unconstrained,0
"[[ 1.   -0.25]
 [-0.25  1.  ]]","[[ 1.   -0.25]
 [-0.25  1.  ]]",[1 1],0.5,0.1,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.5,unconstrained,unconstrained,0
"[[ 1.   -0.25]
 [-0.25  1.  ]]","[[ 1.   -0.25]
 [-0.25  1.  ]]",[1 1],0.5,0.15000000000000002,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.5,unconstrained,unconstrained,0
"[[ 1.   -0.25]
 [-0.25  1.  ]]","[[ 1.   -0.25]
 [-0.25  1.  ]]",[1 1],0.5,0.2,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.5,unconstrained,unconstrained,0
"[[ 1.   -0.25]
 [-0.25  1.  ]]","[[ 1.   -0.25]
 [-0.25  1.  ]]",[1 1],0.5,0.25,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.5,unconstrained,unconstrained,0
"[[ 1.   -0.25]
 [-0.25  1.  ]]","[[ 1.   -0.25]
 [-0.25  1.  ]]",[1 1],0.5,0.30000000000000004,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.5,unconstrained,unconstrained,0
"[[ 1.   -0.25]
 [-0.25  1.  ]]","[[ 1.   -0.25]
 [-0.25  1.  ]]",[1 1],0.5,0.35000000000000003,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.5,unconstrained,unconstrained,0
"[[ 1.   -0.25]
 [-0.25  1.  ]]","[[ 1.   -0.25]
 [-0.25  1.  ]]",[1 1],0.5,0.4,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.5,unconstrained,unconstrained,0
"[[ 1.   -0.25]
 [-0.25  1.  ]]","[[ 1.   -0.25]
 [-0.25  1.  ]]",[1 1],0.5,0.45,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.5,unconstrained,unconstrained,0
"[[ 1.   -0.25]
 [-0.25  1.  ]]","[[ 1.   -0.25]
 [-0.25  1.  ]]",[1 1],0.5,0.5,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.5,unconstrained,unconstrained,0
"[[ 1.   -0.25]
 [-0.25  1.  ]]","[[ 1.   -0.25]
 [-0.25  1.  ]]",[1 1],0.5,0.55,0.0,0.25,0.0,0.6375,0.55,0.53125,0.24765625000000002,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",1
"[[ 1.   -0.25]
 [-0.25  1.  ]]","[[ 1.   -0.25]
 [-0.25  1.  ]]",[1 1],0.5,0.6000000000000001,0.0,0.25,0.0,0.65,0.6000000000000001,0.5625,0.22499999999999987,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",1
"[[ 1.   -0.25]
 [-0.25  1.  ]]","[[ 1.   -0.25]
 [-0.25  1.  ]]",[1 1],0.5,0.65,0.0,0.25,0.0,0.6625,0.65,0.59375,0.19765625000000003,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",1
"[[ 1.   -0.25]
 [-0.25  1.  ]]","[[ 1.   -0.25]
 [-0.25  1.  ]]",[1 1],0.5,0.7000000000000001,0.0,0.25,0.0,0.675,0.7000000000000001,0.625,0.1656249999999999,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0
"[[ 1.   -0.25]
 [-0.25  1.  ]]","[[ 1.   -0.25]
 [-0.25  1.  ]]",[1 1],0.5,0.75,0.0,0.25,0.0,0.6875,0.75,0.65625,0.12890625,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0
"[[ 1.   -0.25]
 [-0.25  1.  ]]","[[ 1.   -0.25]
 [-0.25  1.  ]]",[1 1],0.5,0.8,0.0,0.25,0.0,0.7,0.8,0.6875,0.08750000000000002,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0
"[[ 1.   -0.25]
 [-0.25  1.  ]]","[[ 1.   -0.25]
 [-0.25  1.  ]]",[1 1],0.5,0.8500000000000001,0.0,0.25,0.0,0.7125,0.8500000000000001,0.71875,0.04140624999999987,$\beta_0=\theta_G$,"constrained $\beta_1=max(\beta_0,\theta)$",0
"[[ 1.   -0.25]
 [-0.25  1.  ]]","[[ 1.   -0.25]
 [-0.25  1.  ]]",[1 1],0.5,0.9,0.0,0.268751,1e-06,0.74375075,0.9,0.7496484093735001,2.0624990625384143e-06,"$U_D=0, \beta_0=\theta_G$","constrained $\beta_1=max(\beta_0,\theta)$",0
"[[ 1.   -0.25]
 [-0.25  1.  ]]","[[ 1.   -0.25]
 [-0.25  1.  ]]",[1 1],0.5,0.9500000000000001,0.0,0.37968849999999993,1e-06,0.8671882499999999,0.9500000000000001,0.764430957811,2.1562490624127406e-06,"$U_D=0, \beta_0=\theta_G$","constrained $\beta_1=max(\beta_0,\theta)$",0
"[[ 1.   -0.25]
 [-0.25  1.  ]]","[[ 1.   -0.25]
 [-0.25  1.  ]]",[1 1],0.5,1.0,0.0,0.500001,1e-06,1.00000075,1.0,0.7499996249984999,2.2499990625091115e-06,"$U_D=0, \beta_0=\theta_G$","constrained $\beta_1=max(\beta_0,\theta)$",0
"[[ 1.   -0.25]
 [-0.25  1.  ]]","[[ 1.   -0.25]
 [-0.25  1.  ]]",[1 1],0.5,1.05,0.0,0.3333333333333333,0.3333333333333333,0.7625,1.05,0.7395833333333334,0.36223958333333317,unconstrained,"constrained $\beta_1=max(\beta_0,\theta)$",0
"[[ 1.   -0.25]
 [-0.25  1.  ]]","[[ 1.   -0.25]
 [-0.25  1.  ]]",[1 1],0.5,1.1,0.0,0.3333333333333333,0.3333333333333333,0.7749999999999999,1.1,0.7708333333333334,0.3239583333333331,unconstrained,"constrained $\beta_1=max(\beta_0,\theta)$",0
"[[ 1.   -0.25]
 [-0.25  1.  ]]","[[ 1.   -0.25]
 [-0.25  1.  ]]",[1 1],0.5,1.1500000000000001,0.0,0.3333333333333333,0.3333333333333333,0.7875,1.1500000000000001,0.8020833333333334,0.280989583333333,unconstrained,"constrained $\beta_1=max(\beta_0,\theta)$",0
"[[ 1.   -0.25]
 [-0.25  1.  ]]","[[ 1.   -0.25]
 [-0.25  1.  ]]",[1 1],0.5,1.2000000000000002,0.0,0.3333333333333333,0.3333333333333333,0.8,1.2000000000000002,0.8333333333333334,0.23333333333333295,unconstrained,"constrained $\beta_1=max(\beta_0,\theta)$",0
"[[ 1.   -0.25]
 [-0.25  1.  ]]","[[ 1.   -0.25]
 [-0.25  1.  ]]",[1 1],0.5,1.25,0.0,0.3333333333333333,0.3333333333333333,0.8125,1.25,0.8645833333333334,0.18098958333333326,unconstrained,"constrained $\beta_1=max(\beta_0,\theta)$",0
"[[ 1.   -0.25]
 [-0.25  1.  ]]","[[ 1.   -0.25]
 [-0.25  1.  ]]",[1 1],0.5,1.3,0.0,0.3333333333333333,0.3333333333333333,0.825,1.3,0.8958333333333334,0.12395833333333317,unconstrained,"constrained $\beta_1=max(\beta_0,\theta)$",0
