C0,C1,r,delta,theta,thetaG,alpha_0,beta_0,alpha_1,beta_1,U_G,U_D,Gstrategy,Dstrategy,backfiring_flag
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,0.0,0.0,0.0,0.25,0.0,0.5,0.1875,0.1875,$\alpha_0=0$,constrained $\alpha_1=\alpha_0$,0
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,0.05,0.0,0.0,0.25,0.0,0.5,0.1875,0.1875,$\alpha_0=0$,constrained $\alpha_1=\alpha_0$,0
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,0.1,0.0,0.0,0.25,0.0,0.5,0.1875,0.1875,$\alpha_0=0$,constrained $\alpha_1=\alpha_0$,0
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,0.15000000000000002,0.0,0.0,0.25,0.0,0.5,0.1875,0.1875,$\alpha_0=0$,constrained $\alpha_1=\alpha_0$,0
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,0.2,0.0,0.0,0.25,0.0,0.5,0.1875,0.1875,$\alpha_0=0$,constrained $\alpha_1=\alpha_0$,0
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,0.25,0.0,0.0,0.25,0.0,0.5,0.1875,0.1875,$\alpha_0=0$,constrained $\alpha_1=\alpha_0$,0
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,0.30000000000000004,0.0,0.25,0.0,0.25,0.30000000000000004,0.21250000000000002,0.185,$\beta_0=\theta_G$,constrained $\alpha_1=\alpha_0$,1
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,0.35000000000000003,0.0,0.25,0.0,0.25,0.35000000000000003,0.23750000000000004,0.17750000000000002,$\beta_0=\theta_G$,constrained $\alpha_1=\alpha_0$,1
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,0.4,0.0,0.25,0.0,0.25,0.4,0.2625,0.16499999999999998,$\beta_0=\theta_G$,constrained $\alpha_1=\alpha_0$,1
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,0.45,0.0,0.25,0.0,0.25,0.45,0.2875,0.14749999999999996,$\beta_0=\theta_G$,constrained $\alpha_1=\alpha_0$,1
