,C0,C1,r,delta,theta,thetaG,alpha_0,alpha_1,beta_1,U_G,U_D,Gstrategy,Dstrategy,beta_0
0,0.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.01,0.499,0.0,0.005,0.5,0.499,0.009965,0.494984,$\beta_0=\theta_G$,
1,1.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.0201030927835051,0.499,0.0,0.0100515463917525,0.5,0.499,0.019981956105856,0.4898665231161654,$\beta_0=\theta_G$,
2,2.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.0302061855670103,0.499,0.0,0.0151030927835051,0.5,0.499,0.0299478759698161,0.4846980099904348,$\beta_0=\theta_G$,
3,3.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.0403092783505154,0.499,0.0,0.0201546391752577,0.5,0.499,0.0398627595918801,0.4794784606228079,$\beta_0=\theta_G$,
4,4.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.0504123711340206,0.499,0.0,0.0252061855670103,0.5,0.499,0.049726606972048,0.4742078750132851,$\beta_0=\theta_G$,
5,5.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.0605154639175257,0.499,0.0,0.0302577319587628,0.5,0.499,0.0595394181103199,0.4688862531618663,$\beta_0=\theta_G$,
6,6.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.0706185567010309,0.499,0.0,0.0353092783505154,0.5,0.499,0.0693011930066957,0.4635135950685514,$\beta_0=\theta_G$,
7,7.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.080721649484536,0.499,0.0,0.040360824742268,0.5,0.499,0.0790119316611754,0.4580899007333404,$\beta_0=\theta_G$,
8,8.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.0908247422680412,0.499,0.0,0.0454123711340206,0.5,0.499,0.0886716340737591,0.4526151701562334,$\beta_0=\theta_G$,
9,9.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.1009278350515463,0.499,0.0,0.0504639175257731,0.5,0.499,0.0982803002444468,0.4470894033372303,$\beta_0=\theta_G$,
10,10.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.1110309278350515,0.499,0.0,0.0555154639175257,0.5,0.499,0.1078379301732383,0.4415126002763312,$\beta_0=\theta_G$,
11,11.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.1211340206185566,0.499,0.0,0.0605670103092783,0.5,0.499,0.1173445238601339,0.4358847609735359,$\beta_0=\theta_G$,
12,12.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.1312371134020618,0.499,0.0,0.0656185567010309,0.5,0.499,0.1268000813051333,0.4302058854288447,$\beta_0=\theta_G$,
13,13.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.141340206185567,0.499,0.0,0.0706701030927835,0.5,0.499,0.1362046025082368,0.4244759736422575,$\beta_0=\theta_G$,
14,14.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.1514432989690721,0.499,0.0,0.075721649484536,0.5,0.499,0.1455580874694441,0.4186950256137741,$\beta_0=\theta_G$,
15,15.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.1615463917525773,0.499,0.0,0.0807731958762886,0.5,0.499,0.1548605361887554,0.4128630413433946,$\beta_0=\theta_G$,
16,16.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.1716494845360824,0.499,0.0,0.0858247422680412,0.5,0.499,0.1641119486661707,0.406980020831119,$\beta_0=\theta_G$,
17,17.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.1817525773195876,0.499,0.0,0.0908762886597938,0.5,0.499,0.1733123249016898,0.4010459640769476,$\beta_0=\theta_G$,
18,18.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.1918556701030928,0.499,0.0,0.0959278350515464,0.5,0.499,0.1824616648953129,0.3950608710808799,$\beta_0=\theta_G$,
19,19.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.2019587628865979,0.499,0.0,0.1009793814432989,0.5,0.499,0.19155996864704,0.3890247418429163,$\beta_0=\theta_G$,
20,20.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.2120618556701031,0.499,0.0,0.1060309278350515,0.5,0.499,0.2006072361568711,0.3829375763630567,$\beta_0=\theta_G$,
21,21.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.2221649484536082,0.499,0.0,0.1110824742268041,0.5,0.499,0.209603467424806,0.3767993746413008,$\beta_0=\theta_G$,
22,22.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.2322680412371134,0.499,0.0,0.1161340206185567,0.5,0.499,0.2185486624508449,0.370610136677649,$\beta_0=\theta_G$,
23,23.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.2423711340206185,0.499,0.0,0.1211855670103092,0.5,0.499,0.2274428212349877,0.3643698624721012,$\beta_0=\theta_G$,
24,24.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.2524742268041237,0.499,0.0,0.1262371134020618,0.5,0.499,0.2362859437772345,0.3580785520246572,$\beta_0=\theta_G$,
25,25.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.2625773195876288,0.499,0.0,0.1312886597938144,0.5,0.499,0.2450780300775853,0.3517362053353173,$\beta_0=\theta_G$,
26,26.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.272680412371134,0.499,0.0,0.136340206185567,0.5,0.499,0.25381908013604,0.3453428224040813,$\beta_0=\theta_G$,
27,27.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.2827835051546392,0.499,0.0,0.1413917525773196,0.5,0.499,0.2625090939525986,0.338898403230949,$\beta_0=\theta_G$,
28,28.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.2928865979381443,0.499,0.0,0.1464432989690721,0.5,0.499,0.2711480715272611,0.3324029478159209,$\beta_0=\theta_G$,
29,29.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.3029896907216495,0.499,0.0,0.1514948453608247,0.5,0.499,0.2797360128600277,0.3258564561589966,$\beta_0=\theta_G$,
30,30.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.3130927835051546,0.499,0.0,0.1565463917525773,0.5,0.499,0.288272917950898,0.3192589282601763,$\beta_0=\theta_G$,
31,31.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.3231958762886598,0.499,0.0,0.1615979381443299,0.5,0.499,0.2967587867998725,0.3126103641194602,$\beta_0=\theta_G$,
32,32.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.3332989690721649,0.499,0.0,0.1666494845360824,0.5,0.499,0.3051936194069508,0.3059107637368477,$\beta_0=\theta_G$,
33,33.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.34340206185567,0.499,0.0,0.171701030927835,0.5,0.499,0.313577415772133,0.2991601271123392,$\beta_0=\theta_G$,
34,34.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.3535051546391752,0.499,0.0,0.1767525773195876,0.5,0.499,0.3219101758954192,0.2923584542459347,$\beta_0=\theta_G$,
35,35.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.3636082474226804,0.499,0.0,0.1818041237113402,0.5,0.499,0.3301918997768094,0.2855057451376341,$\beta_0=\theta_G$,
36,36.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.3737113402061855,0.499,0.0,0.1868556701030927,0.5,0.499,0.3384225874163035,0.2786019997874375,$\beta_0=\theta_G$,
37,37.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.3838144329896907,0.499,0.0,0.1919072164948453,0.5,0.499,0.3466022388139015,0.271647218195345,$\beta_0=\theta_G$,
38,38.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.3939175257731959,0.499,0.0,0.1969587628865979,0.5,0.499,0.3547308539696036,0.2646414003613561,$\beta_0=\theta_G$,
39,39.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.404020618556701,0.499,0.0,0.2020103092783505,0.5,0.499,0.3628084328834094,0.2575845462854714,$\beta_0=\theta_G$,
40,40.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.4141237113402062,0.499,0.0,0.2070618556701031,0.5,0.499,0.3708349755553194,0.2504766559676905,$\beta_0=\theta_G$,
