,C0,C1,r,delta,theta,thetaG,alpha_0,alpha_1,beta_1,U_G,U_D,Gstrategy,Dstrategy,beta_0
0,49588.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.01,2.5,1.2,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,
1,49589.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.0201030927835051,2.5,1.2,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,
2,49590.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.0302061855670103,2.5,1.2,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,
3,49591.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.0403092783505154,2.5,1.2,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,
4,49592.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.0504123711340206,2.5,1.2,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,
5,49593.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.0605154639175257,2.5,1.2,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,
6,49594.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.0706185567010309,2.5,1.2,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,
7,49595.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.080721649484536,2.5,1.2,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,
8,49596.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.0908247422680412,2.5,1.2,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,
9,49597.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.1009278350515463,2.5,1.2,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,
10,49598.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.1110309278350515,2.5,1.2,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,
11,49599.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.1211340206185566,2.5,1.2,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,
12,49600.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.1312371134020618,2.5,1.2,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,
13,49601.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.141340206185567,2.5,1.2,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,
14,49602.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.1514432989690721,2.5,1.2,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,
15,49603.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.1615463917525773,2.5,1.2,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,
16,49604.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.1716494845360824,2.5,1.2,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,
17,49605.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.1817525773195876,2.5,1.2,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,
18,49606.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.1918556701030928,2.5,1.2,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,
19,49607.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.2019587628865979,2.5,1.2,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,
20,49608.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.2120618556701031,2.5,1.2,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,
21,49609.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.2221649484536082,2.5,1.2,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,
22,49610.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.2322680412371134,2.5,1.2,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,
23,49611.0,"[[1 0]
 [0 1]]","[[1 0]
 [0 1]]",[1 1],0.2423711340206185,2.5,1.2,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,
